id,gene,gene_id,description
gene1293,yciM,gene:BAA14834,conserved hypothetical protein
gene1294,pyrF,gene:BAA14835,orotidine-5'-phosphate decarboxylase
gene1295,yciH,gene:BAA14836,conserved hypothetical protein
gene1296,osmB,gene:BAA14837,lipoprotein
gene1297,yciT,gene:BAA14838,predicted DNA-binding transcriptional regulator
gene1298,gmr,gene:BAA14839,modulator of Rnase II stability
gene1299,rnb,gene:BAA14840,ribonuclease II
gene1300,yciW,gene:BAE76396,predicted oxidoreductase
gene1301,fabI,gene:BAA14841,enoyl-[acyl-carrier-protein] reductase%2C NADH-dependent
gene1302,ycjD,gene:BAA14842,conserved hypothetical protein
gene1303,sapF,gene:BAA14843,predicted antimicrobial peptide transporter subunit
gene1304,sapD,gene:BAA14844,predicted antimicrobial peptide transporter subunit
gene1305,sapC,gene:BAA14845,predicted antimicrobial peptide transporter subunit
gene1306,sapB,gene:BAA14854,predicted antimicrobial peptide transporter subunit
gene1307,sapA,gene:BAA14855,predicted antimicrobial peptide transporter subunit
gene1308,ymjA,gene:BAE76397,hypothetical protein
gene1309,puuP,gene:BAA14856,putrescine importer
gene1310,puuA,gene:BAA14857,gamma-Glu-putrescine synthase
gene1311,puuD,gene:BAA14858,gamma-Glu-GABA hydrolase
gene1312,puuR,gene:BAA14868,DNA-binding transcriptional repressor
gene1313,puuC,gene:BAA14869,gamma-Glu-gamma-aminobutyraldehyde dehydrogenase%2C NAD(P)H-dependent
gene1314,puuB,gene:BAA14870,gamma-Glu-putrescine oxidase%2C FAD/NAD(P)-binding
gene1315,puuE,gene:BAA14871,GABA aminotransferase%2C PLP-dependent
gene1316,pspF,gene:BAA14872,DNA-binding transcriptional activator
gene1317,pspA,gene:BAA14873,regulatory protein for phage-shock-protein operon
gene1318,pspB,gene:BAA14874,transcriptional regulator of psp operon
gene1319,pspC,gene:BAA14875,transcriptional activator
gene1320,pspD,gene:BAA14876,peripheral inner membrane phage-shock protein
gene1321,pspE,gene:BAA14877,thiosulfate:cyanide sulfurtransferase
gene1322,ycjM,gene:BAA14886,predicted glucosyltransferase
gene1323,ycjN,gene:BAE76398,predicted sugar transporter subunit
gene1324,ycjO,gene:BAA14887,predicted sugar transporter subunit
gene1325,ycjP,gene:BAA14888,predicted sugar transporter subunit
gene1326,ycjQ,gene:BAA14889,predicted oxidoreductase%2C Zn-dependent and NAD(P)-binding
gene1327,ycjR,gene:BAE76399,hypothetical protein
gene1328,ycjS,gene:BAA14890,predicted oxidoreductase%2C NADH-binding
gene1329,ycjT,gene:BAA14891,predicted hydrolase
gene1330,ycjU,gene:BAA14892,predicted beta-phosphoglucomutase
gene1331,ycjV,gene:BAA14893,predicted sugar transporter subunit
gene1332,ymjB,gene:BAE76400,hypothetical protein
gene1333,ompG,gene:BAE76401,outer membrane porin
gene1334,ycjW,gene:BAA14901,predicted DNA-binding transcriptional regulator
gene1335,ycjX,gene:BAA14902,conserved hypothetical protein with nucleoside triphosphate hydrolase domain
gene1336,ycjF,gene:BAA14903,conserved inner membrane protein
gene1337,tyrR,gene:BAA14905,DNA-binding transcriptional dual regulator%2C tyrosine-binding
gene1338,tpx,gene:BAA14906,lipid hydroperoxide peroxidase
gene1339,ycjG,gene:BAA14907,L-Ala-D/L-Glu epimerase
gene1340,mpaA,gene:BAA14908,murein peptide amidase A
gene1341,ymjC,gene:BAE76402,predicted oxidoreductase
gene1342,ycjY,gene:BAA14909,predicted hydrolase
gene1343,ycjZ,gene:BAA14921,predicted DNA-binding transcriptional regulator
gene1344,mppA,gene:BAA14922,murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit
gene1345,ynaI,gene:BAA14923,conserved inner membrane protein
gene1346,insH,gene:BAE76049,IS5 transposase and trans-activator
gene1347,ynaJ,gene:BAE76403,predicted inner membrane protein
gene1348,uspE,gene:BAA14926,stress-induced protein
gene1349,fnr,gene:BAA14927,DNA-binding transcriptional dual regulator%2C global regulator of anaerobic growth
gene1350,ogt,gene:BAA14928,O-6-alkylguanine-DNA:cysteine-protein methyltransferase
gene1351,abgT,gene:BAA14929,predicted cryptic aminobenzoyl-glutamate transporter
gene1352,abgB,gene:BAE76404,predicted peptidase%2C aminobenzoyl-glutamate utilization protein
gene1353,abgA,gene:BAA14940,predicted peptidase%2C aminobenzoyl-glutamate utilization protein
gene1354,abgR,gene:BAA14941,predicted DNA-binding transcriptional regulator
gene1355,isrA,,
gene1356,ydaL,gene:BAE76405,conserved hypothetical protein
gene1357,ydaM,gene:BAA14945,predicted diguanylate cyclase%2C GGDEF domain signalling protein
gene1358,ydaN,gene:BAE76406,predicted Zn(II) transporter
gene1359,dbpA,gene:BAA14946,ATP-dependent RNA helicase specific for 23S rRNA
gene1360,ydaO,gene:BAE76407,predicted C32 tRNA thiolase
gene1361,intR,gene:BAE76408,integrase
gene1362,ydaQ,gene:BAE76409,conserved hypothetical protein
gene1363,ydaC,gene:BAA14947,hypothetical protein
gene1364,lar,gene:BAA14948,restriction alleviation protein
gene1365,recT,gene:BAA14949,recombination and repair protein
gene1366,recE,gene:BAA14950,exonuclease VIII%2C 5'-> 3' specific dsDNA exonuclease
gene1367,racC,gene:BAA14953,hypothetical protein
gene1368,ydaE,gene:BAA14954,conserved hypothetical protein
gene1369,kil,gene:BAA14955,inhibitor of ftsZ%2C killing protein
gene1370,sieB,gene:BAA14956,phage superinfection exclusion protein
gene1371,ydaF,gene:BAA14957,hypothetical protein
gene1372,ydaG,gene:BAE76410,hypothetical protein
gene1373,racR,gene:BAE76411,predicted DNA-binding transcriptional regulator
gene1374,ydaS,gene:BAE76412,predicted DNA-binding transcriptional regulator
gene1375,ydaT,gene:BAE76413,hypothetical protein
gene1376,ydaU,gene:BAE76414,conserved hypothetical protein
gene1377,ydaV,gene:BAA14958,predicted DNA replication protein
gene1378,ydaW,gene:BAE76415,predicted DNA-binding protein
gene1379,rzpR,gene:BAA14959,predicted defective peptidase
gene1380,rzoR,gene:BAE76416,predicted lipoprotein
gene1381,trkG,gene:BAA14960,potassium transporter subunit
gene1382,ynaK,gene:BAE76417,conserved hypothetical protein
gene1383,ydaY,gene:BAE76418,hypothetical protein
gene1384,ynaA,gene:BAA14961,predicted tail protein
gene1385,lomR,,
gene1386,insH,gene:BAE76049,IS5 transposase and trans-activator
gene1387,stfR,gene:BAA14966,predicted tail fiber protein
gene1388,tfaR,gene:BAA14978,predicted tail fiber assembly protein
gene1389,pinR,gene:BAA14979,predicted site-specific recombinase
gene1390,ynaE,gene:BAE76419,predicted DNA-binding transcriptional regulator
gene1391,uspF,gene:BAA14980,stress-induced protein%2C ATP-binding protein
gene1392,ompN,gene:BAA14981,outer membrane pore protein N%2C non-specific
gene1393,micC,,
gene1394,ydbK,gene:BAA14982,fused predicted Fe-S subunit of pyruvate-flavodoxin oxidoreductase
gene1395,ydbJ,gene:BAA14983,hypothetical protein
gene1396,hslJ,gene:BAA14984,heat-inducible protein
gene1397,ldhA,gene:BAA14990,fermentative D-lactate dehydrogenase%2C NAD-dependent
gene1398,ydbH,gene:BAA14991,hypothetical protein
gene1399,ynbE,gene:BAE76420,predicted lipoprotein
gene1400,ydbL,gene:BAE76421,conserved hypothetical protein
gene1401,feaR,gene:BAE76422,DNA-binding transcriptional regulator
gene1402,feaB,gene:BAA14992,phenylacetaldehyde dehydrogenase
gene1403,tynA,gene:BAA14996,tyramine oxidase%2C copper-requiring
gene1404,maoC,gene:BAA14997,fused aldehyde dehydrogenase and enoyl-CoA hydratase
gene1405,paaA,gene:BAE76423,predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation
gene1406,paaB,gene:BAE76424,predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation
gene1407,paaC,gene:BAE76425,predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation
gene1408,paaD,gene:BAE76426,predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation
gene1409,paaE,gene:BAA14998,predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation
gene1410,paaF,gene:BAA14999,enoyl-CoA hydratase-isomerase
gene1411,paaG,gene:BAA15000,acyl-CoA hydratase
gene1412,paaH,gene:BAA15001,3-hydroxybutyryl-CoA dehydrogenase
gene1413,paaI,gene:BAE76427,predicted thioesterase
gene1414,paaJ,gene:BAA15002,predicted beta-ketoadipyl CoA thiolase
gene1415,paaK,gene:BAE76428,phenylacetyl-CoA ligase
gene1416,paaX,gene:BAE76429,DNA-binding transcriptional regulator%2C aryl-CoA responsive
gene1417,paaY,gene:BAA15008,predicted hexapeptide repeat acetyltransferase
gene1418,ydbA,,
gene1419,insD,gene:BAE76142,IS2 insertion element transposase InsAB'
gene1420,insC,gene:BAE76141,IS2 insertion element repressor InsA
gene1421,insI,gene:BAE76048,IS30 transposase
gene1422,ydbC,gene:BAA15021,predicted oxidoreductase%2C NAD(P)-binding
gene1423,ydbD,gene:BAA15022,hypothetical protein
gene1424,ynbA,gene:BAE76430,predicted inner membrane protein
gene1425,ynbB,gene:BAA15023,predicted CDP-diglyceride synthase
gene1426,ynbC,gene:BAE76431,predicted hydrolase
gene1427,ynbD,gene:BAE76432,predicted phosphatase%2C inner membrane protein
gene1428,azoR,gene:BAA15024,NADH-azoreductase%2C FMN-dependent
gene1429,hrpA,gene:BAA15029,ATP-dependent helicase
gene1430,ydcF,gene:BAA15030,conserved hypothetical protein
gene1431,aldA,gene:BAA15032,aldehyde dehydrogenase A%2C NAD-linked
gene1432,gapC,,
gene1433,cybB,gene:BAA15039,cytochrome b561
gene1434,ydcA,gene:BAA15040,hypothetical protein
gene1435,hokB,gene:BAA15042,toxic polypeptide%2C small
gene1436,mokB,gene:BAE76433,regulatory peptide
gene1437,sokB,,
gene1438,trg,gene:BAA15044,methyl-accepting chemotaxis protein III%2C ribose and galactose sensor receptor
gene1439,ydcI,gene:BAA15045,predicted DNA-binding transcriptional regulator
gene1440,ydcJ,gene:BAE76434,conserved hypothetical protein
gene1441,mdoD,gene:BAA15046,glucan biosynthesis protein%2C periplasmic
gene1442,ydcH,gene:BAA15047,hypothetical protein
gene1443,rimL,gene:BAA15048,ribosomal-protein-L7/L12-serine acetyltransferase
gene1444,ydcK,gene:BAE76435,hypothetical protein
gene1445,tehA,gene:BAA15058,potassium-tellurite ethidium and proflavin transporter
gene1446,tehB,gene:BAA15059,predicted S-adenosyl-L-methionine-dependent methyltransferase
gene1447,ydcL,gene:BAE76436,predicted lipoprotein
gene1448,yncK,,
gene1449,ydcM,gene:BAA15060,predicted transposase
gene1450,ydcO,gene:BAA15061,predicted benzoate transporter
gene1451,ydcN,gene:BAA15062,predicted DNA-binding transcriptional regulator
gene1452,ydcP,gene:BAA15068,predicted peptidase
gene1453,yncJ,gene:BAE76437,hypothetical protein
gene1454,yncN,gene:BAE76438,hypothetical protein
gene1455,ydcQ,gene:BAE76439,predicted DNA-binding transcriptional regulator
gene1456,ydcR,gene:BAA15069,fused predicted DNA-binding transcriptional regulator and predicted amino transferase
gene1457,ydcS,gene:BAE76440,predicted spermidine/putrescine transporter subunit
gene1458,ydcT,gene:BAA15070,predicted spermidine/putrescine transporter subunit
gene1459,ydcU,gene:BAA15071,predicted spermidine/putrescine transporter subunit
gene1460,ydcV,gene:BAA15072,predicted spermidine/putrescine transporter subunit
gene1461,ydcW,gene:BAA15073,medium chain aldehyde dehydrogenase
gene1462,ydcX,gene:BAE76441,predicted inner membrane protein
gene1463,ydcY,gene:BAE76442,hypothetical protein
gene1464,ydcZ,gene:BAE76443,predicted inner membrane protein
gene1465,yncA,gene:BAA15080,predicted acyltransferase with acyl-CoA N-acyltransferase domain
gene1466,yncB,gene:BAA15081,predicted oxidoreductase%2C Zn-dependent and NAD(P)-binding
gene1467,yncC,gene:BAA15082,predicted DNA-binding transcriptional regulator
gene1468,yncD,gene:BAE76444,predicted iron outer membrane transporter
gene1469,yncE,gene:BAE76445,conserved hypothetical protein
gene1470,ansP,gene:BAA15086,L-asparagine transporter
gene1471,yncG,gene:BAE76446,hypothetical protein
gene1472,yncH,gene:BAE76447,hypothetical protein
gene1473,rhsE,gene:BAA15087,rhsE element core protein RshE
gene1474,ydcD,gene:BAA15088,hypothetical protein
gene1475,yncI,gene:BAA15089,hypothetical protein
gene1476,yncM,gene:BAA15090,hypothetical protein
gene1477,ydcC,gene:BAA15091,conserved hypothetical protein
gene1478,ydcE,gene:BAA15092,4-oxalocrotonate tautomerase
gene1479,yddH,gene:BAE76448,conserved hypothetical protein
gene1480,nhoA,gene:BAA15100,N-hydroxyarylamine O-acetyltransferase
gene1481,yddE,gene:BAA15101,conserved hypothetical protein
gene1482,narV,gene:BAA15102,nitrate reductase 2 (NRZ)%2C gamma subunit
gene1483,narW,gene:BAA15103,nitrate reductase 2 (NRZ)%2C delta subunit (assembly subunit)
gene1484,narY,gene:BAA15104,nitrate reductase 2 (NRZ)%2C beta subunit
gene1485,narZ,gene:BAA15105,nitrate reductase 2 (NRZ)%2C alpha subunit
gene1486,narU,gene:BAA15118,nitrate/nitrite transporter
gene1487,yddJ,gene:BAE76449,hypothetical protein
gene1488,yddK,gene:BAE76450,hypothetical protein
gene1489,yddL,gene:BAA15121,predicted lipoprotein
gene1490,yddG,gene:BAA15122,predicted methyl viologen efflux pump
gene1491,fdnG,gene:BAA15123,formate dehydrogenase-N%2C alpha subunit%2C nitrate-inducible
gene1492,fdnH,gene:BAA15124,formate dehydrogenase-N%2C Fe-S (beta) subunit%2C nitrate-inducible
gene1493,fdnI,gene:BAA15125,formate dehydrogenase-N%2C cytochrome B556 (gamma) subunit%2C nitrate-inducible
gene1494,yddM,gene:BAE76451,predicted DNA-binding transcriptional regulator
gene1495,adhP,gene:BAA15126,alcohol dehydrogenase%2C 1-propanol preferring
gene1496,sfcA,gene:BAA15127,malate dehydrogenase%2C NAD-requiring
gene1497,sra,gene:BAE76452,30S ribosomal subunit protein S22
gene1498,bdm,gene:BAE76453,biofilm-dependent modulation protein
gene1499,osmC,gene:BAA15128,osmotically inducible%2C stress-inducible membrane protein
gene1500,ddpF,gene:BAA15138,D-Ala-D-Ala transporter subunit
gene1501,ddpD,gene:BAA15139,D-Ala-D-Ala transporter subunit
gene1502,ddpC,gene:BAA15140,D-Ala-D-Ala transporter subunit
gene1503,ddpB,gene:BAA15141,D-Ala-D-Ala transporter subunit
gene1504,ddpA,gene:BAA15142,D-Ala-D-Ala transporter subunit
gene1505,ddpX,gene:BAA15143,D-Ala-D-Ala dipeptidase%2C Zn-dependent
gene1506,dos,gene:BAA15154,cAMP phosphodiesterase%2C heme-regulated
gene1507,yddV,gene:BAA15155,predicted diguanylate cyclase
gene1508,yddW,gene:BAE76454,predicted liprotein
gene1509,gadC,gene:BAA15156,predicted glutamate:gamma-aminobutyric acid antiporter
gene1510,gadB,gene:BAA15163,glutamate decarboxylase B%2C PLP-dependent
gene1511,pqqL,gene:BAA15164,predicted peptidase
gene1512,yddB,gene:BAA15166,predicted porin protein
gene1513,yddA,gene:BAA15167,fused predicted multidrug transporter subunits and membrane component and ATP-binding component of ABC superfamily
gene1514,ydeM,gene:BAA15168,conserved hypothetical protein
gene1515,ydeN,gene:BAA15169,conserved hypothetical protein
gene1516,ydeO,gene:BAA15173,predicted DNA-binding transcriptional acfivator
gene1517,ydeP,gene:BAA15174,predicted oxidoreductase
gene1518,ydeQ,gene:BAA15175,predicted fimbrial-like adhesin protein
gene1519,ydeR,gene:BAA15176,predicted fimbrial-like adhesin protein
gene1520,ydeS,gene:BAA15177,predicted fimbrial-like adhesin protein
gene1521,ydeT,gene:BAA15178,hypothetical protein
gene1522,yneL,gene:BAE76455,predicted transcriptional regulator
gene1523,hipA,gene:BAA15179,regulator with hipB
gene1524,hipB,gene:BAA15180,DNA-binding transcriptional regulator
gene1525,ydeU,,
gene1526,ydeK,gene:BAA15190,predicted lipoprotein
gene1527,ydeV,gene:BAA15191,predicted sugar kinase
gene1528,ydeW,gene:BAA15192,predicted DNA-binding transcriptional regulator
gene1529,ego,gene:BAA15200,fused AI2 transporter subunits and ATP-binding components of ABC superfamily
gene1530,lsrC,gene:BAA15201,AI2 transporter
gene1531,lsrD,gene:BAA15202,AI2 transporter
gene1532,lsrB,gene:BAE76456,AI2 transporter
gene1533,lsrF,gene:BAE76457,predicted aldolase
gene1534,lsrG,gene:BAE76458,conserved hypothetical protein
gene1535,tam,gene:BAE76459,trans-aconitate methyltransferase
gene1536,yneE,gene:BAE76460,conserved inner membrane protein
gene1537,uxaB,gene:BAA15204,altronate oxidoreductase%2C NAD-dependent
gene1538,yneF,gene:BAA15205,predicted diguanylate cyclase
gene1539,yneG,gene:BAE76461,conserved hypothetical protein
gene1540,yneH,gene:BAA15206,predicted glutaminase
gene1541,yneI,gene:BAA15208,predicted aldehyde dehydrogenase
gene1542,yneJ,gene:BAA15209,predicted DNA-binding transcriptional regulator
gene1543,yneK,gene:BAE76462,hypothetical protein
gene1544,ydeA,gene:BAA15210,predicted arabinose transporter
gene1545,marC,gene:BAA15211,predicted transporter
gene1546,marR,gene:BAA15220,DNA-binding transcriptional repressor
gene1547,marA,gene:BAA15221,DNA-binding transcriptional dual regulator
gene1548,marB,gene:BAA15222,hypothetical protein
gene1549,eamA,gene:BAA15223,cysteine and O-acetyl-L-serine efflux system
gene1550,ydeE,gene:BAA15224,predicted transporter
gene1551,ydeH,gene:BAA18882,conserved hypothetical protein
gene1552,ydeI,gene:BAA15226,conserved hypothetical protein
gene1553,ydeJ,gene:BAA15227,conserved hypothetical protein
gene1554,dcp,gene:BAA15228,dipeptidyl carboxypeptidase II
gene1555,ydfG,gene:BAA15241,L-allo-threonine dehydrogenase%2C NAD(P)-binding
gene1556,ydfH,gene:BAA15242,predicted DNA-binding transcriptional regulator
gene1557,ydfZ,gene:BAE76463,conserved hypothetical protein
gene1558,ydfI,gene:BAA15243,predicted mannonate dehydrogenase
gene1559,ydfJ,gene:BAA15248,predicted transporter
gene1560,ydfK,gene:BAE76464,predicted DNA-binding transcriptional regulator
gene1561,pinQ,gene:BAA15249,predicted site-specific recombinase
gene1562,tfaQ,gene:BAA15250,predicted tail fibre assembly protein
gene1563,stfQ,gene:BAA15251,predicted side tail fibre assembly protein
gene1564,nohA,gene:BAA15252,predicted packaging protein
gene1565,ynfO,gene:BAE76465,hypothetical protein
gene1566,ydfO,gene:BAE76466,hypothetical protein
gene1567,gnsB,gene:BAA15253,hypothetical protein
gene1568,ynfN,gene:BAE76467,hypothetical protein
gene1569,cspI,gene:BAA15254,cold shock protein
gene1570,ydfP,gene:BAE76468,conserved hypothetical protein
gene1571,ydfQ,gene:BAE76469,predicted lysozyme
gene1572,ydfR,gene:BAE76470,hypothetical protein
gene1573,essQ,gene:BAA15255,predicted S lysis protein
gene1574,cspB,gene:BAA15256,cold shock protein
gene1575,cspF,gene:BAA15257,cold shock protein
